index,raw,uic,lat,lon,entries
414,Cannes La Bocca,87757617,43.548787,6.986601,cannes la bocca
415,Cantin,87345413,50.3124545,3.121943,cantin
416,Cap-d'Ail,87756395,43.7205382,7.3943362,cap d ail
417,Capdenac,87613109,44.5782458,2.0779632,capdenac
418,Capvern,87671156,43.1033454,0.3296393,capvern
419,Carbonne,87611061,43.298206,1.212531,carbonne
420,Carcassonne,87615286,43.218029,2.351824,carcassonne
421,Carentan,87447243,49.302482,-1.244938,carentan
422,Carhaix-Plouguer,87473504,48.2780022,-3.5622173,carhaix plouguer
423,Carignan,87172353,49.6285736,5.1684754,carignan
424,Carmaux,87615625,44.048782,2.152401,carmaux
425,Carnoët - Locarn,87473561,48.3405242,-3.4908822,carnoet locarn
426,Carnoles,87756478,43.76203,7.48139,carnoles
427,Carnoules,87755371,43.2974104,6.1862531,carnoules
428,Carpentras,87765735,44.0499488,5.044141,carpentras
429,Carry-le-Rouet,87753566,43.336592,5.153594,carry le rouet
430,Casino Lacroix Laval,87208553,45.7878115,4.7309383,casino lacroix laval
431,Cassel,87281139,50.7875916,2.4599722,cassel
432,Cassis,87751776,43.23406,5.553055,cassis
433,Castelnau-d'Estrétefonds,87611665,43.786196,1.341761,castelnau d estretefonds
434,Castelnaudary,87615039,43.312292,1.95039,castelnaudary
435,Castelsarrasin,87611897,44.0403503,1.1143954,castelsarrasin
436,Castillon-la-Bataille,87584136,44.856999,-0.04066,castillon la bataille
437,Castres,87615468,43.599131,2.231223,castres
438,Cattenières,87345587,50.1280738,3.3337877,cattenieres
439,Caudéran Mérignac,87581538,44.84288,-0.6274337,cauderan merignac
440,Caudrot,87582841,44.5801152,-0.1452784,caudrot
441,Caudry,87345561,50.11146,3.40983,caudry
442,Caulnes,87473066,48.2844264,-2.155593,caulnes
443,Caussade,87613356,44.1622668,1.5336541,caussade
444,Cavaillon,87765503,43.834554,5.043613,cavaillon
445,Cavignac,87491217,45.105163,-0.382243,cavignac
446,Cazères,87611079,43.212834,1.083106,cazeres
447,Ceilhes - Roqueredonde,87781542,43.8122656,3.1551583,ceilhes roqueredonde
448,Cenon,87581595,44.8563465,-0.5336487,cenon
449,Cerbère,87785006,42.4417732,3.1634033,cerbere
450,Cercottes,87543033,47.9861553,1.8849813,cercottes
451,Cercy-la-Tour,87696492,46.8578816,3.6452029,cercy la tour
455,Cerizay,87487280,46.8176878,-0.6689931,cerizay
456,Cernay (Haut-Rhin),87182410,47.802,7.1737,cernay haut rhin
458,Cérons,87582742,44.632346,-0.340526,cerons
459,Cessieu,87723452,45.5611596,5.3761179,cessieu
461,Cesson-Sévigné,87334490,48.11281,-1.60211,cesson sevigne
462,Ceyzériat,87743302,46.1834877,5.3258417,ceyzeriat
463,Chabenet,87597112,46.6265259,1.5076773,chabenet
464,Châbons,87747212,45.4383566,5.4281009,chabons
465,Chabris,87576223,47.2549836,1.6459424,chabris
466,Chagny,87713578,46.907269,4.749682,chagny
467,Chaingy Fourneaux Plage,87574111,47.8770705,1.782422,chaingy fourneaux plage
468,Chalais,87583690,45.2708327,0.0435966,chalais
469,Challans,87481390,46.843962,-1.871879,challans
470,Chalon-sur-Saône,87725002,46.781612,4.843454,chalon sur saone
471,Chalonnes-sur-Loire,87484204,47.34306,-0.74306,chalonnes sur loire
472,Châlons-en-Champagne,87174003,48.955252,4.348656,chalons en champagne
473,Chamalières-sur-Loire,87734731,45.2047385,3.9909202,chamalieres sur loire
475,Chambéry - Challes-les-Eaux,87741009,45.571302,5.919547,chambery challes les eaux
476,Chambly,87276725,49.16362,2.24048,chambly
477,Chamborigaud,87775221,44.3002429,3.9793332,chamborigaud
478,Chambourg-sur-Indre,87571463,47.1821629,0.9648363,chambourg sur indre
479,Chamelet,87721829,45.9816414,4.5069346,chamelet
480,Chamonix Aiguille du Midi,87462085,45.91993,6.8667152,chamonix aiguille du midi
481,Chamonix-Mont-Blanc,87746784,45.92277,6.87363,chamonix mont blanc
482,Chamousset,87741231,45.5575744,6.2067432,chamousset
485,Champagné,87396275,48.0197118,0.3352253,champagne
486,Champagne-Ardenne TGV,87171926,49.214806,3.994632,champagne ardenne tgv
488,Champagne-sur-Seine,87682450,48.406531,2.799184,champagne sur seine
489,Champagney,87185348,47.7031399,6.7012773,champagney
490,Champagnole,87715326,46.7492981,5.9100314,champagnole
491,Champagnole Paul-Émile Victor,87352047,46.742483,5.9198128,champagnole paul emile victor
493,Champigneulles,87141085,48.73499,6.16913,champigneulles
494,Champigny sur Yonne,87683128,48.3237418,3.1305718,champigny sur yonne
