station,commune
troissereux fouquenies,fouquenies
troissy,troissy
trompeloup,pauillac
tronget,tronget
tronsanges,tronsanges
troo,montoire sur le loir
trouhans,trouhans
troyes,troyes
trucy sur yonne,trucy sur yonne
trebes,trebes
treves burel,treves
tregonneau squiffiec,squiffiec
trelaze,trelaze
trementines,trementines
tremolat,tremolat
trevoux,trevoux
tucquegnieux,tucquegnieux
tugeras chartuzac,tugeras saint maurice
tulle,tulle
tullins fures,tullins
tupigny,tupigny
turckheim,turckheim
turenne,turenne
turretot,turretot
tutegny,cessy
teterchen,teterchen
ustaritz jatxou,ustaritz
ucciani,ucciani
uchaud,uchaud
uchizy,uchizy
uckange,uckange
ugine,ugine
ur les escaldes,ur
urcuit,urcuit
urdos,urdos
urmatt,urmatt
urt,urt
urzy,urzy
urcay,la perche
us,us
ussac,ussac
ussat les bains,ornolac ussat les bains
ussel,ussel
usson st pal,usson en forez
uzel,saint herve
uzerche,uzerche
uzes,uzes
vaas,vaas
vaires torcy,vaires sur marne
vaivre,vaivre et montoille
val d argenteuil,argenteuil
val de fontenay,fontenay sous bois
val de reuil,val de reuil
val de vesle,val de vesle
val de ville,chatenois
valdieu,valdieu lutran
valdoie,valdoie
valdonne peypin,peypin
valence,valence
valence tgv,alixan
valence d agen,valence
valenciennes,valenciennes
valenciennes faubourg,valenciennes
valenton,valenton
valencay,valencay
valergues lansargues,valergues
valfin les st claude,saint claude
vallant st georges,vallant saint georges
valleiry,valleiry
vallentigny maizieres,vallentigny
valleroy moineville,valleroy
vallois,vallois
vallon,vallon en sully
vallorcine,vallorcine
valleres,valleres
valmondois,butry sur oise
valmont,valmont
valmy,valmy
valognes,valognes
vandenesse,montaron
vandieres,vandieres
vannes,vannes
vanves malakoff,vanves
vanvey villiers,vanvey
varades st florent le vieil,loireauxence
varangeville st nicolas,varangeville
varennes le grand,varennes le grand
varennes sur allier,varennes sur allier
varennes sur fouzon,val fouzon
varennes sur loire,varennes sur loire
varetz,varetz
varilhes,varilhes
vars,vars
varzay,varzay
varzy,varzy
vassy etaule,etaule
vauboyen,bievres
vaucelles,taverny
vauchonvilliers maisons des champs,vauchonvilliers
vaucresson,vaucresson
vaudagne,les houches
vaugris,reventin vaugris
vaulry,vaulry
vault de lugny,vault de lugny
vaulx milieu,vaulx milieu
vaumoise,coyolles
vaumort,vaumort
vauvert,vauvert
vaux andigny molain,vaux andigny
vaux montreuil,vaux sur blaise
vaux en bugey,vaux en bugey
vaux et chantegrue,vaux et chantegrue
vaux les st claude,vaux les saint claude
vaux sous aubigny,le montsaugeonnais
vaux sur seine,vaux sur seine
vauxaillon,vauxaillon
vauzelles,varennes vauzelles
vaveix issoudun,issoudun letrieix
vayrac,vayrac
vayres,vayres
veauche st galmier,veauche
vebret,vebret
veigne,veigne
velars,velars sur ouche
velaux coudoux,velaux
vellexon,vellexon queutrey et vaudey
velluire,les velluire sur vendee
velosnes torgny,velosnes
venaco,venaco
vendargues,vendargues
vendenheim,vendenheim
vendenheim,eckwersheim
vendes,meallet
vendeuvre aube,vendeuvre sur barse
vendeuvre jort,vendeuvre
vendranges st priest,saint priest la roche
vendome,vendome
vendome villiers sur loir,villiers sur loir
venejan,venejan
venelles,venelles
venizel,venizel
vennecy,vennecy
verberie,verberie
vercheny,vercheny
verdun,verdun
verdun sur le doubs,verdun sur le doubs
vereux,vereux
vergonnes,ombree d anjou
vergeze codognan,vergeze
vermenton,vermenton
vern,vern sur seiche
vernaison,vernaison
vernantes,vernantes
vernet d ariege,le vernet
verneuil nievre,verneuil
verneuil st germain,verneuil sur indre
verneuil l etang,verneuil l etang
verneuil sur avre,verneuil d avre et d iton
verneuil sur serre,verneuil sur serre
verneuil sur vienne,verneuil sur vienne
verniolle,verniolle
vernon giverny,vernon
vernou les varennes,vernou sur brenne
vernou sur seine,vernou la celle sur seine
vernouillet verneuil,verneuil sur seine
vernoy,vernoy
verquigneul,verquigneul
verrey,verrey sous salmaise
verron,la fleche
vers,saint gery vers
vers en montagne,vers en montagne
versailles chantiers,versailles
versailles matelots,versailles
versailles rive gauche,versailles
versigny,versigny
vert galant,villepinte
vert galant nord,wambrechies
vertaizon,vertaizon
vertheuil,vertheuil
vertolaye,vertolaye
vertou,vertou
vertus,blancs coteaux
vervins,vervins
verzeille,leuc
vesaignes sur marne,vesaignes sur marne
vesoul,vesoul
veuves monteaux,veuzain sur loire
veuxhaulles,veuxhaulles sur aube
veynes devoluy,veynes
viaduc ste marie,les houches
viam,viam
vianne,vianne
viarmes,viarmes
vias,vias
viazac,viazac
vic bigorre,vic en bigorre
vic mireval,vic la gardiole
vic le comte,vic le comte
vic sur aisne,ressons le long
vic sur cere,vic sur cere
vichy,vichy
vicoigne,raismes
vidauban,vidauban
vieilleville,mourioux vieilleville
vielle adour,vielle adour
vielmur sur agout,vielmur sur agout
vienne,vienne
vierzon forges,vierzon
vierzon ville,vierzon
vierzy,vierzy
viescamp sous jalles,lacapelle viescamp
viessoix,valdalliere
vieuvicq montigny,vieuvicq
vieux rouen sur bresle,vieux rouen sur bresle
vieux thann,vieux thann
vieux thann zi,vieux thann
vif,vif
vigeois,vigeois
vignacourt,vignacourt
vignats,vignats
vigneux sur seine,vigneux sur seine
vignols st solve,saint solve
vignory,vignory
villabe,villabe
villaines,villaines sous bois
villaines,villaines sous malicorne
villaines vezot,vezot
villars santenoge,villars santenoge
villars les dombes,villars les dombes
ville en vermois,ville en vermois
villebois,villebois
villechaud,cosne cours sur loire
villechauve,villechauve
villedaigne,nevian
villedieu chanliau,le creusot
villedieu les poeles,villedieu les poeles rouffigny
villedieu sur indre,villedieu sur indre
villefort,villefort
villefranche vernet les bains,corneilla de conflent
villefranche vernet les bains,fuilla
villefranche d allier,villefranche d allier
villefranche de lauragais,villefranche de lauragais
villefranche de rouergue,villefranche de rouergue
villefranche du perigord,loubejac
villefranche sur cher,villefranche sur cher
villefranche sur mer,villefranche sur mer
villefranche sur saone,villefranche sur saone
villefrancoeur,villefranc ur
villefranque,villefranque
villegusien,villegusien le lac
villeherviers,villeherviers
villelaure,villelaure
villemur haute garonne,villemur sur tarn
villemurlin,villemurlin
villenauxe,villenauxe la grande
villenave d ornon,villenave d ornon
villeneuve,villeneuve
villeneuve loubet plage,villeneuve loubet
villeneuve prairie,choisy le roi
villeneuve pujaut,villeneuve les avignon
villeneuve st georges,villeneuve saint georges
villeneuve triage,villeneuve saint georges
villeneuve d aveyron,villeneuve
villeneuve d ingre,ingre
villeneuve de berg,saint germain
villeneuve l archeveque,molinons
villeneuve la comtesse,villeneuve la comtesse
villeneuve la guyard,villeneuve la guyard
villeneuve le roi,villeneuve le roi
villeneuve les avignon,villeneuve les avignon
villeneuve les beziers,villeneuve les beziers
villeneuve les maguelone,villeneuve les maguelone
villeneuve sur allier,villeneuve sur allier
villeneuve sur lot,villeneuve sur lot
villeneuve sur yonne,villeneuve sur yonne
villennes sur seine,villennes sur seine
villenouvelle,villenouvelle
villeparisis,mitry mory
villepatour presles,presles en brie
villeperdue,villeperdue
villepinte,villepinte
villepreux les clayes,les clayes sous bois
villereversure,villereversure
villers benoite vaux,villers sur meuse
villers bretonneux,villers bretonneux
villers cotterets,villers cotterets
villers faucon,villers faucon
villers rotin,villers rotin
villers st paul,villers saint paul
villers st sepulcre,villers saint sepulcre
villers le lac,villers le lac
villers les pots,villers les pots
villers sur coudun,villers sur coudun
villers sur mer,villers sur mer
villers sur there,allonne
villers ecalles,villers ecalles
villersexel,villersexel
villetaneuse universite tt,villetaneuse
villetrun coulommiers,coulommiers la tour
villeurbanne,villeurbanne
villeurbanne garage,villeurbanne
villeveyrac,villeveyrac
villey crecey,villey sur tille
villiers montbarbin,crecy la chapelle
villiers neauphle pontchartrain,villiers saint frederic
villiers st georges,villiers saint georges
villiers vouille,villiers
villiers en lieu,villiers en lieu
villiers le bel gonesse arnouville,arnouville
villiers le sec,villiers le sec
villiers sur marne le plessis trevise,villiers sur marne
villieu loyes,villieu loyes mollon
vilosnes,vilosnes haraumont
vimpelles,luisetaines
vimy,vimy
vinay,vinay
vincelles,vincelles
vincennes fontenay,fontenay sous bois
vincey,portieux
vingt hanaps,ecouves
vinca,vinca
violaines,violaines
violot,violot
vion,vion
vions chanaz,vions
vire,vire normandie
vireux molhain,vireux molhain
viricelles chazelles sur lyon,viricelles
virieu le grand belley,virieu le grand
virieu sur bourbre,val de virieu
viroflay rive droite,viroflay
viroflay rive gauche,viroflay
virollet croutelle,liguge
virville manneville,virville
viry,viry
viry chatillon,viry chatillon
viry noureuil,viry noureuil
vis a marles,marles les mines
vitrey vernois,rosieres sur mance
vitrolles,vitrolles
vitrolles aeroport marseille provence,vitrolles
vitry aux loges,vitry aux loges
vitry en artois,vitry en artois
vitry la ville,vitry la ville
vitry le francois,vitry le francois
vitry sur seine,vitry sur seine
vitre,vitre
vittel,vittel
vivario,vivario
vivier au court,vivier au court
viviers du lac,viviers du lac
viviers sur chiers,viviers sur chiers
viviez decazeville,viviez
vivoin beaumont,vivoin
vivonne,vivonne
vivy,vivy
vix vendee,le gue de velluire
vizzavona,vivario
vievola,tende
voellerdingen,v llerdingen
voglans,voglans
vogue,vogue
voillecomte,voillecomte
voiron,voiron
voivres,voivres les le mans
volvic,volvic
volx,volx
voncq,voncq
vonnas,vonnas
voreppe,voreppe
vorey,vorey
vosves,dammarie les lys
vougeot gilly les citeaux,gilly les citeaux
vougy,vougy
vouillers,vouillers
voujeaucourt,voujeaucourt
voultegon,voulmentin
vouleme,vouleme
vourey,vourey
voutenay,voutenay sur cure
voutre,voutre
vouvray,vouvray
vouziers,vouziers
vouzon,vouzon
voves,les villages voveens
voyenne,voyenne
vraincourt vieville,vraincourt
vrigne meuse,vrigne meuse
vrizy vandy,vouziers
vulaines rigny le ferron,vulaines
vulaines sur seine samoreau,vulaines sur seine
vebre,vebre
velines,velines
venerque le vernet,vernet
venissieux,venissieux
venissieux nord,saint priest
venissieux sud,venissieux
veretz montlouis,montlouis sur loire
vezac beynac,vezac
vezelise,vezelise
vezenobres,vezenobres
wacquemoulin,wacquemoulin
walbach,wintzenheim
walbourg,walbourg
walheim,walheim
walygator parc,maizieres les metz
wambaix,wambaix
wambrechies,wambrechies
wardrecques,racquinghem
wargnies le grand,wargnies le grand
warmeriville,warmeriville
wasigny la neuville,wasigny
wassigny,wassigny
wassy,wassy
watten eperlecques,eperlecques
wattignies templemars,templemars
wavrans,wavrans sur ternoise
wavrin,wavrin
welferding,sarreguemines
wesserling,fellering
weyersheim,weyersheim
wiencourt l equipee,wiencourt l equipee
wihr au val soultzbach les bains,wihr au val
willer sur thur,willer sur thur
willerwald,willerwald
wilwisheim,wilwisheim
wimille wimereux,wimille
wimmenau,wimmenau
wingen sur moder,wingen sur moder
wisches,wisches
wissembourg,wissembourg
wissous,wissous
witry les reims,witry les reims
wittelsheim,wittelsheim
wittring,wittring
wizernes,wizernes
woelfling les sarreguemines,w lfling les sarreguemines
woincourt,woincourt
woippy,woippy
woippy ie,woippy
wolfskirchen,wolfskirchen
xermamenil lamath,lamath
xertigny,xertigny
xeuilley,xeuilley
yainville jumieges,yainville
ychoux,ychoux
yerres,yerres
yffiniac,yffiniac
ygos,ygos saint saturnin
yolet le doux,yolet
youx,youx
ytrac,ytrac
yutz,yutz
yvetot,yvetot
yvre l eveque,yvre l eveque
zetting,zetting
zillisheim,zillisheim
zornhoff monswiller,monswiller
zoufftgen,zoufftgen
zoufftgen ie,zoufftgen
zu rhein,mulhouse
zuydcoote,zuydcoote
eze,eze
ebersviller,ebersviller
echenevex,echenevex
echirolles,echirolles
echire,echire
ecole valentin,ecole valentin
ecommoy,ecommoy
ecouche,ecouche les vallees
ecouen ezanville,ezanville
ecouflant,ecouflant
ecueille,ecueille
ecully la demi lune,tassin la demi lune
egletons,egletons
egly,egly
eguelshardt,eguelshardt
eguzon,eguzon chantome
eloyes,eloyes
emagny,emagny
emerainville pontault combault,emerainville
epannes,frontenay rohan rohan
epanvilliers,blanzay
epehy,epehy
epernon,epernon
epierre st leger,epierre
epinal,epinal
epinay grande ceinture,montmagny
epinay villetaneuse,epinay sur seine
epinay villetaneuse tt,montmagny
epinay sur orge,epinay sur orge
epinay sur seine,epinay sur seine
epinay sur seine tt,epinay sur seine
epinouze,epinouze
epluches,saint ouen l aumone
epoisses,epoisses
epouville,epouville
epone mezieres,mezieres sur seine
eragny bazincourt,eragny sur epte
eragny neuville,eragny
esery marsinges,reignier esery
etain,etain
etainhus st romain,etainhus
etais gs,etais la sauvin
etalans,etalans
etampes,etampes
etang,etang sur arroux
etaples le touquet,etaples
etaules bourg,etaule
eterpigny,eterpigny
etigny veron,etigny
etival clairefontaine,etival clairefontaine
etoile,etoile sur rhone
etrembieres saleve,etrembieres
etreux,etreux
etriche chateauneuf,etriche
etrechy,etrechy
etrepagny,etrepagny
evaux les bains,evaux les bains
evian les bains,evian les bains
evires,filliere
evreux embranchement,evreux
evron,evron
evry courcouronnes,evry courcouronnes
ile napoleon,illzach
ile napoleon garage,sausheim
